cycles,config_count,field_line_integration_seconds,diagnostics_seconds,total_group_seconds,integrated_line_steps
1,36,0.9268111000055796,0.16508880000037607,1.4173945000002277,778752
2,36,2.4202309000029345,0.055775299995730165,2.673548999999184,1557504
3,36,5.864356199999747,0.18098779999854742,6.255198999999266,2336256
