config_id,cycles,diffusion_time,coarse_factor,trajectory_samples,mean_absolute_winding,mean_winding_error_from_fine,maximum_winding_error_from_fine,mean_direction_sphere_path_length,mean_direction_path_length_loss,maximum_direction_path_length_loss
n1_k0.5_b1.25_s1.25_rho0,1,0.0,4,33,0.09785506874322891,2.9205040608104582e-09,8.940696716308594e-08,0.557391881942749,0.003345342818647623,0.009802103042602539
n1_k0.5_b1.25_s1.25_rho0,1,0.0,8,17,0.09785506874322891,2.7253592715936747e-09,5.960464477539063e-08,0.5489763617515564,0.011756835505366325,0.03491830825805664
n1_k0.5_b1.25_s1.25_rho0.25,1,0.25,1,129,0.05622739717364311,0.0,0.0,0.33901089429855347,0.0,0.0
n1_k0.5_b1.25_s1.25_rho0.25,1,0.25,2,65,0.05622739717364311,8.202243328980785e-10,2.9802322387695312e-08,0.33885249495506287,0.0005491405026987195,0.004274681210517883
n1_k0.5_b1.25_s1.25_rho0.25,1,0.25,4,33,0.05622739717364311,1.0295480024069548e-09,2.2351741790771484e-08,0.3379904329776764,0.001285961247049272,0.004517644643783569
n1_k0.5_b1.25_s1.25_rho0.25,1,0.25,8,17,0.05622739717364311,9.00539698367453e-10,1.4901161193847656e-08,0.33564114570617676,0.003511342452839017,0.010272681713104248
n1_k0.5_b1.25_s1.25_rho1,1,1.0,1,129,0.017061108723282814,0.0,0.0,0.12230601161718369,0.0,0.0
n1_k0.5_b1.25_s1.25_rho1,1,1.0,2,65,0.017061108723282814,2.787251540681268e-10,7.450580596923828e-09,0.12235717475414276,0.00047077727504074574,0.003164231777191162
n1_k0.5_b1.25_s1.25_rho1,1,1.0,4,33,0.017061108723282814,3.1561797619872323e-10,3.725290298461914e-09,0.12233231961727142,0.0005770839052274823,0.0036906301975250244
n1_k0.5_b1.25_s1.25_rho1,1,1.0,8,17,0.017061108723282814,3.6057967722769035e-10,7.450580596923828e-09,0.12207085639238358,0.0007520037470385432,0.004537016153335571
n1_k1_b0.75_s0.75_rho0,1,0.0,1,129,0.23001350462436676,0.0,0.0,2.407094717025757,0.0,0.0
n1_k1_b0.75_s0.75_rho0,1,0.0,2,65,0.23001348972320557,1.094761081787965e-08,1.7881393432617188e-07,2.4022066593170166,0.0050426386296749115,0.022495746612548828
n1_k1_b0.75_s0.75_rho0,1,0.0,4,33,0.23001350462436676,1.0732597033324964e-08,1.1920928955078125e-07,2.382537364959717,0.024654172360897064,0.10978174209594727
n1_k1_b0.75_s0.75_rho0,1,0.0,8,17,0.23001348972320557,1.1819793144240975e-08,1.7881393432617188e-07,2.306358575820923,0.10079486668109894,0.45815086364746094
n1_k1_b0.75_s0.75_rho0.25,1,0.25,1,129,0.14249397814273834,0.0,0.0,1.3825503587722778,0.0,0.0
n1_k1_b0.75_s0.75_rho0.25,1,0.25,2,65,0.14249396324157715,5.511631151478014e-09,8.940696716308594e-08,1.3809292316436768,0.0017013148171827197,0.004477739334106445
n1_k1_b0.75_s0.75_rho0.25,1,0.25,4,33,0.14249396324157715,5.4739452970409275e-09,1.341104507446289e-07,1.3745684623718262,0.00803842581808567,0.022130250930786133
