cycles,diffusion_time,config_count,mean_maximum_squashing_factor,max_maximum_squashing_factor,mean_mean_absolute_neighbor_winding,max_mean_absolute_neighbor_winding,mean_mean_direction_sphere_path_length,max_mean_direction_sphere_path_length,mean_maximum_finite_length_lyapunov,max_maximum_finite_length_lyapunov,mean_mean_integrated_parallel_current_abs,max_mean_integrated_parallel_current_abs,mean_mean_free_energy_density_above_guide,max_mean_free_energy_density_above_guide,mean_mean_lorentz_force_density,max_mean_lorentz_force_density
1,0.0,12,39.780978202819824,70.67252349853516,0.2143643939246734,0.42956268787384033,1.8330771178007126,3.8708465099334717,0.10858224953214328,0.13283930718898773,2.120881289243698,3.4290103912353516,0.022656376163164776,0.04380419850349426,0.08005008644734819,0.15231135487556458
1,0.25,12,16.37448312838872,45.85650634765625,0.12642082323630652,0.2479390949010849,1.051200305422147,2.2014057636260986,0.07570234530915816,0.11938557773828506,1.1717873414357503,1.9682188034057617,0.008786653478940329,0.017124712467193604,0.04163920972496271,0.07934528589248657
1,1.0,12,2.567979017893473,4.2261552810668945,0.03995825753857692,0.08796948194503784,0.3507964952538411,0.7038162350654602,0.020081063810115058,0.04321851581335068,0.40039219707250595,0.6995636820793152,0.0015444755554199219,0.003062903881072998,0.015706435466806095,0.03052717261016369
2,0.0,12,59.57413641611735,83.32819366455078,0.33410381774107617,0.6249514222145081,3.6209599375724792,7.727331161499023,0.06270759832113981,0.06890220195055008,3.8462981482346854,6.642215728759766,0.023988813161849976,0.0463789701461792,0.08461723414560159,0.16093380749225616
2,0.25,12,43.332122921943665,92.67501068115234,0.21641457825899124,0.4019686281681061,2.0835326264301934,4.330711841583252,0.054054417026539646,0.07076401263475418,2.1019036918878555,3.771334171295166,0.00930191328128179,0.018125563859939575,0.04394298574576775,0.08386227488517761
2,1.0,12,4.424659172693889,11.853355407714844,0.07603110869725545,0.15762032568454742,0.712961153437694,1.43289315700531,0.01913091478248437,0.038520898669958115,0.7996278256177902,1.4014214277267456,0.0016278276840845745,0.0032224655151367188,0.016616697694795828,0.03243059292435646
3,0.0,12,67.04529476165771,96.72025299072266,0.41857117290298146,0.7458198070526123,5.328465898831685,11.031558990478516,0.04332697484642267,0.04707608371973038,5.333461085955302,9.906699180603027,0.024468491474787395,0.0473058819770813,0.0862614077826341,0.16403786838054657
3,0.25,12,62.06687887509664,102.27965545654297,0.2963815691570441,0.5034914612770081,3.059771070877711,6.331905841827393,0.04116154803584019,0.04819152504205704,2.948395162820816,5.3539228439331055,0.009487375617027283,0.018485844135284424,0.04477234402050575,0.08548838645219803
3,1.0,12,7.8473193645477295,26.846115112304688,0.1091803265735507,0.22615961730480194,1.0648893937468529,2.1345691680908203,0.017949916267146666,0.03425171226263046,1.1858393251895905,2.0807037353515625,0.001657856007417043,0.0032799243927001953,0.01694439142011106,0.033115822821855545
