size,cells,states,blue_winners,yellow_winners,both_winners,neither_winners,processed_states,probability_at_half,slope_at_half,p25,p75,critical_window_width,elapsed_seconds,states_per_second
1,1,2,1,1,0,0,2,0.5,1.0,0.25,0.75,0.5,0.10983390000183135,18.209314246026523
2,4,16,8,8,0,0,16,0.5,1.5,0.3263518223330697,0.6736481776669303,0.3472963553338606,0.002011499978834763,7954.263071515716
3,9,512,256,256,0,0,512,0.5,1.9453125,0.36414222860925083,0.6358577713907492,0.27171554278149834,0.003114199993433431,164408.195067625
4,16,65536,32768,32768,0,0,65536,0.5,2.3486328125,0.3867207099464083,0.6132792900535917,0.22655858010718344,0.0064968999940901995,10087272.400623955
5,25,33554432,16777216,16777216,0,0,33554432,0.5,2.7250701189041138,0.4020001120939287,0.5979998879060713,0.19599977581214256,0.789725400012685,42488733.42488545
