fixture_id,tau,maps_written,elapsed_seconds
trefoil_T_2_3,0.0,16,0.45451530000718776
trefoil_T_2_3,0.0003,16,0.02814599999692291
trefoil_T_2_3,0.001,16,0.028284800006076694
trefoil_T_2_3,0.003,16,0.02963709998584818
trefoil_T_2_3,0.01,16,0.02821350000158418
trefoil_T_2_3,0.03,16,0.035017600006540306
trefoil_T_2_3,0.1,16,0.02826920000370592
trefoil_T_2_3,0.3,16,0.02944990000105463
trefoil_T_2_3,1.0,16,0.03680269999313168
cinquefoil_T_2_5,0.0,16,0.03779970000323374
cinquefoil_T_2_5,0.0003,16,0.032768100005341694
cinquefoil_T_2_5,0.001,16,0.037851300003239885
cinquefoil_T_2_5,0.003,16,0.030410099992877804
cinquefoil_T_2_5,0.01,16,0.029322400005185045
cinquefoil_T_2_5,0.03,16,0.031426199988345616
cinquefoil_T_2_5,0.1,16,0.03279430000111461
cinquefoil_T_2_5,0.3,16,0.030660599994007498
cinquefoil_T_2_5,1.0,16,0.04290519999631215
torus_T_3_4,0.0,16,0.03748489999270532
torus_T_3_4,0.0003,16,0.03245890000835061
torus_T_3_4,0.001,16,0.03805079999438021
torus_T_3_4,0.003,16,0.02944150000985246
torus_T_3_4,0.01,16,0.02895739999075886
torus_T_3_4,0.03,16,0.0317887000128394
torus_T_3_4,0.1,16,0.03312910000386182
torus_T_3_4,0.3,16,0.03120949999720324
torus_T_3_4,1.0,16,0.03965579999203328
