fixture_id,channel,bandwidth,tau,grid_count,odd_count_scaling_exponent,odd_fraction_scaling_exponent,log_log_r_squared,minimum_grid_size,maximum_grid_size
cinquefoil_T_2_5,curvature_density,0.1,0.0,4,1.2684906799067142,-0.7315093200932858,0.9817088912329736,9,65
cinquefoil_T_2_5,curvature_density,0.1,0.0003,4,1.2684906799067142,-0.7315093200932858,0.9817088912329736,9,65
cinquefoil_T_2_5,curvature_density,0.1,0.001,4,1.268625322477467,-0.7313746775225329,0.9836036427870644,9,65
cinquefoil_T_2_5,curvature_density,0.1,0.003,4,1.2812811474828847,-0.7187188525171153,0.9860790140359377,9,65
cinquefoil_T_2_5,curvature_density,0.1,0.01,4,1.2391071454663127,-0.7608928545336873,0.9899790858434385,9,65
cinquefoil_T_2_5,curvature_density,0.1,0.03,4,1.2859321340942171,-0.7140678659057829,0.9934353592214431,9,65
cinquefoil_T_2_5,curvature_density,0.1,0.1,4,1.2380739401638499,-0.7619260598361501,0.9885829473148999,9,65
cinquefoil_T_2_5,curvature_density,0.1,0.3,4,1.1203347593969815,-0.8796652406030185,0.9976561963783248,9,65
cinquefoil_T_2_5,curvature_density,0.1,1.0,4,1.2680858189299224,-0.7319141810700776,0.9852950318692416,9,65
cinquefoil_T_2_5,curvature_density,0.18,0.0,4,1.1777518127545628,-0.8222481872454372,0.9866094361122881,9,65
cinquefoil_T_2_5,curvature_density,0.18,0.0003,4,1.181284963087468,-0.818715036912532,0.9869793318453236,9,65
cinquefoil_T_2_5,curvature_density,0.18,0.001,4,1.1754279551136584,-0.8245720448863416,0.9861662277144585,9,65
cinquefoil_T_2_5,curvature_density,0.18,0.003,4,1.1768841405041377,-0.8231158594958623,0.9883174026439606,9,65
cinquefoil_T_2_5,curvature_density,0.18,0.01,4,1.1395688752445,-0.8604311247555001,0.9895287155896697,9,65
cinquefoil_T_2_5,curvature_density,0.18,0.03,4,1.1337023877870742,-0.8662976122129258,0.996032374733558,9,65
cinquefoil_T_2_5,curvature_density,0.18,0.1,4,1.1568811033271473,-0.8431188966728527,0.9959152385533012,9,65
cinquefoil_T_2_5,curvature_density,0.18,0.3,4,1.1954183275224943,-0.8045816724775057,0.9944919383356863,9,65
cinquefoil_T_2_5,curvature_density,0.18,1.0,4,1.064363942243288,-0.935636057756712,0.9996408469341622,9,65
