fixture_id,p,q,minimal_crossing_number,tau_index,tau,channel,bandwidth,grid_size,vertex_count,edge_count,chromatic_number,odd_degree_vertex_count,odd_degree_vertex_fraction,neighbor_diagonal_sign_agreement,interior_four_spin_correlation,initial_diagonal_mismatch,effective_mode_count,polygon_length,mean_curvature,maximum_curvature,geometric_bending_energy,median_edge_length,spectral_dirichlet_energy,spectral_bending_energy
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.1,9,82,240,4,48,0.5853658318519592,0.5714285969734192,-0.061224489795918366,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.1,17,290,864,4,118,0.40689656138420105,0.7562500238418579,0.4311111111111111,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.1,33,1090,3264,4,278,0.2550458610057831,0.8760080337524414,0.6670135275754423,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.1,65,4226,12672,4,542,0.12825366854667664,0.9384921193122864,0.8508440413202318,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.18,9,82,240,4,48,0.5853658318519592,0.6071428656578064,-0.061224489795918366,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.18,17,290,864,4,112,0.38620689511299133,0.8041667342185974,0.48444444444444446,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.18,33,1090,3264,4,220,0.20183485746383667,0.9072580337524414,0.7877211238293446,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.18,65,4226,12672,4,466,0.11026975512504578,0.9527530074119568,0.889140841521794,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,signed_turning,0.1,9,82,240,4,40,0.4878048598766327,0.5446428656578064,0.26530612244897955,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,signed_turning,0.1,17,290,864,4,118,0.40689656138420105,0.7770833969116211,0.4311111111111111,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,signed_turning,0.1,33,1090,3264,4,244,0.2238532155752182,0.8845765590667725,0.7377731529656608,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
trefoil_T_2_3,2,3,3,0,0.0,signed_turning,0.1,65,4226,12672,4,514,0.12162801623344421,0.941964328289032,0.8649533887629126,0.0,40,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,8.160578438945542,204.01446097363873
