fixture_id,channel,bandwidth,grid_size,tau_count,four_chromatic_count,three_chromatic_count,initial_odd_degree_fraction,final_odd_degree_fraction,mean_odd_degree_fraction,final_initial_diagonal_mismatch,maximum_initial_diagonal_mismatch,initial_four_spin_correlation,final_four_spin_correlation,bending_frustration_correlation
cinquefoil_T_2_5,curvature_density,0.1,9,9,9,0,0.46341460943222046,0.39024388790130615,0.4823848042223189,0.359375,0.359375,0.26530612244897955,0.673469387755102,-0.2607776481483572
cinquefoil_T_2_5,curvature_density,0.1,17,9,9,0,0.4413793087005615,0.35862070322036743,0.41609195205900407,0.3359375,0.3359375,0.3244444444444444,0.5733333333333334,0.5821999100737802
cinquefoil_T_2_5,curvature_density,0.1,33,9,9,0,0.2495412826538086,0.20550459623336792,0.24220183657275307,0.33203125,0.33203125,0.6753381893860563,0.7835587929240375,0.6188023583173893
cinquefoil_T_2_5,curvature_density,0.1,65,9,9,0,0.13109323382377625,0.10979649424552917,0.12867434488402474,0.3369140625,0.3369140625,0.8437893675988914,0.8911564625850341,0.5321604076403971
cinquefoil_T_2_5,curvature_density,0.18,9,9,9,0,0.4878048598766327,0.5853658318519592,0.5094850758711497,0.359375,0.359375,0.18367346938775508,-0.14285714285714285,-0.6685810317277094
cinquefoil_T_2_5,curvature_density,0.18,17,9,9,0,0.41379308700561523,0.35862070322036743,0.3938697278499603,0.3359375,0.3359375,0.39555555555555555,0.5733333333333334,0.8615648447752692
cinquefoil_T_2_5,curvature_density,0.18,33,9,9,0,0.21284404397010803,0.1981651335954666,0.2093781895107693,0.35546875,0.35546875,0.7585848074921957,0.8002081165452655,0.15828042657148217
cinquefoil_T_2_5,curvature_density,0.18,65,9,9,0,0.1154756247997284,0.10411737114191055,0.11321449031432469,0.356201171875,0.356201171875,0.8770471151423533,0.9032501889644747,0.3643083030601601
cinquefoil_T_2_5,signed_turning,0.1,9,9,9,0,0.46341460943222046,0.39024388790130615,0.47154469622506034,0.34375,0.34375,0.26530612244897955,0.673469387755102,-0.3047335290763934
cinquefoil_T_2_5,signed_turning,0.1,17,9,9,0,0.4000000059604645,0.35862070322036743,0.39463601509730023,0.31640625,0.31640625,0.4311111111111111,0.5733333333333334,0.49857816892922735
cinquefoil_T_2_5,signed_turning,0.1,33,9,9,0,0.24220183491706848,0.20550459623336792,0.2313965360323588,0.3349609375,0.3349609375,0.6919875130072841,0.7835587929240375,0.7271071848787858
cinquefoil_T_2_5,signed_turning,0.1,65,9,9,0,0.12210127711296082,0.10790345072746277,0.12173318531778124,0.336669921875,0.336669921875,0.8629377676996726,0.8951877047115143,0.5334408891129563
cinquefoil_T_2_5,signed_turning,0.18,9,9,9,0,0.46341460943222046,0.5853658318519592,0.5040650202168359,0.28125,0.28125,0.26530612244897955,-0.14285714285714285,-0.8682753203058017
cinquefoil_T_2_5,signed_turning,0.18,17,9,9,0,0.35862070322036743,0.38620689511299133,0.3624521129661136,0.296875,0.296875,0.5377777777777778,0.5022222222222222,-0.8395535285328981
cinquefoil_T_2_5,signed_turning,0.18,33,9,9,0,0.20550459623336792,0.1981651335954666,0.20774720112482706,0.298828125,0.298828125,0.7752341311134235,0.8002081165452655,-0.3397101786282117
cinquefoil_T_2_5,signed_turning,0.18,65,9,9,0,0.10743018984794617,0.10601040720939636,0.10774569792879952,0.31005859375,0.31005859375,0.8941798941798943,0.8992189468379945,-0.5078475544034249
torus_T_3_4,curvature_density,0.1,9,9,9,0,0.5121951103210449,0.4390243887901306,0.4742547306749556,0.3125,0.375,0.1020408163265306,0.5102040816326531,0.7489073865100152
torus_T_3_4,curvature_density,0.1,17,9,9,0,0.35862070322036743,0.35862070322036743,0.3954023023446401,0.31640625,0.31640625,0.5377777777777778,0.5733333333333334,0.05682647000268756
torus_T_3_4,curvature_density,0.1,33,9,9,0,0.2642201781272888,0.21284404397010803,0.2536187569300334,0.3330078125,0.3330078125,0.6420395421436005,0.7669094693028097,0.7704218975887077
torus_T_3_4,curvature_density,0.1,65,9,9,0,0.13203975558280945,0.11358258128166199,0.13119840290811327,0.3291015625,0.3291015625,0.8417737465356514,0.8830939783320737,0.679023889493462
torus_T_3_4,curvature_density,0.18,9,9,9,0,0.5609756112098694,0.5853658318519592,0.5230352150069343,0.328125,0.359375,0.02040816326530612,-0.14285714285714285,0.48841029977825495
torus_T_3_4,curvature_density,0.18,17,9,9,0,0.37931033968925476,0.38620689511299133,0.3731800748242272,0.33984375,0.359375,0.48444444444444446,0.5022222222222222,0.41552768299639364
torus_T_3_4,curvature_density,0.18,33,9,9,0,0.2165137678384781,0.21284404397010803,0.21304791337913936,0.3310546875,0.3330078125,0.7502601456815817,0.7669094693028097,0.5306083309312662
torus_T_3_4,curvature_density,0.18,65,9,9,0,0.11216279864311218,0.1164221465587616,0.11211021492878596,0.327392578125,0.3388671875,0.8841017888636937,0.8770471151423533,0.4006659043563575
torus_T_3_4,signed_turning,0.1,9,9,9,0,0.5121951103210449,0.4390243887901306,0.46341462267769706,0.6875,0.6875,0.1020408163265306,0.673469387755102,0.7844831864483662
torus_T_3_4,signed_turning,0.1,17,9,9,0,0.3931034505367279,0.3724137842655182,0.4053639769554138,0.6640625,0.6640625,0.4488888888888889,0.5733333333333334,0.6146503593723459
torus_T_3_4,signed_turning,0.1,33,9,9,0,0.24770642817020416,0.20917432010173798,0.24464831749598184,0.669921875,0.669921875,0.6753381893860563,0.7835587929240375,0.9243981562671634
torus_T_3_4,signed_turning,0.1,65,9,9,0,0.13298627734184265,0.11452910304069519,0.12972603572739494,0.656005859375,0.656005859375,0.8397581254724112,0.8830939783320737,0.8338615202439843
torus_T_3_4,signed_turning,0.18,9,9,9,0,0.4878048598766327,0.6341463327407837,0.4850948353608449,0.671875,0.671875,0.18367346938775508,-0.14285714285714285,-0.016684425974907244
torus_T_3_4,signed_turning,0.18,17,9,9,0,0.35862070322036743,0.4000000059604645,0.3517241444852617,0.6796875,0.69921875,0.5377777777777778,0.5022222222222222,0.051047329034873044
torus_T_3_4,signed_turning,0.18,33,9,9,0,0.20917432010173798,0.2165137678384781,0.2053007168902291,0.6767578125,0.6767578125,0.7669094693028097,0.7669094693028097,0.34545835130736346
torus_T_3_4,signed_turning,0.18,65,9,9,0,0.10979649424552917,0.1164221465587616,0.10969132598903444,0.676025390625,0.676025390625,0.889140841521794,0.8790627362055934,0.25115336832142454
trefoil_T_2_3,curvature_density,0.1,9,9,9,0,0.5853658318519592,0.5121951103210449,0.5609755979643928,0.25,0.25,-0.061224489795918366,0.26530612244897955,0.9321686350661669
trefoil_T_2_3,curvature_density,0.1,17,9,9,0,0.40689656138420105,0.4275861978530884,0.41532567474577164,0.23046875,0.25,0.4311111111111111,0.39555555555555555,-0.15966409225786782
trefoil_T_2_3,curvature_density,0.1,33,9,9,0,0.2550458610057831,0.236697256565094,0.24648318191369376,0.2392578125,0.2421875,0.6670135275754423,0.712799167533819,0.7620783475132243
trefoil_T_2_3,curvature_density,0.1,65,9,9,0,0.12825366854667664,0.11973497271537781,0.12783299220932853,0.2490234375,0.25341796875,0.8508440413202318,0.869992441421013,0.7157003472296997
trefoil_T_2_3,curvature_density,0.18,9,9,9,0,0.5853658318519592,0.5365853309631348,0.5799457695749071,0.21875,0.21875,-0.061224489795918366,0.1020408163265306,0.7165674253535481
trefoil_T_2_3,curvature_density,0.18,17,9,9,0,0.38620689511299133,0.3724137842655182,0.36858237120840287,0.23828125,0.23828125,0.48444444444444446,0.52,0.5903993022443066
trefoil_T_2_3,curvature_density,0.18,33,9,9,0,0.20183485746383667,0.20733945071697235,0.2028542309999466,0.23828125,0.23828125,0.7877211238293446,0.7793964620187306,0.0948728011767653
trefoil_T_2_3,curvature_density,0.18,65,9,9,0,0.11026975512504578,0.10884997248649597,0.1085870506034957,0.242919921875,0.242919921875,0.889140841521794,0.8931720836482742,0.458519546781646
trefoil_T_2_3,signed_turning,0.1,9,9,9,0,0.4878048598766327,0.5609756112098694,0.5094850791825188,0.703125,0.703125,0.26530612244897955,0.26530612244897955,-0.9210170113939103
trefoil_T_2_3,signed_turning,0.1,17,9,9,0,0.40689656138420105,0.4413793087005615,0.41992336842748856,0.7578125,0.7578125,0.4311111111111111,0.39555555555555555,-0.5910003275258576
trefoil_T_2_3,signed_turning,0.1,33,9,9,0,0.2238532155752182,0.2440367043018341,0.22956167492601606,0.7548828125,0.7548828125,0.7377731529656608,0.704474505723205,-0.6005123197622865
trefoil_T_2_3,signed_turning,0.1,65,9,9,0,0.12162801623344421,0.11973497271537781,0.1225219534503089,0.746337890625,0.746337890625,0.8649533887629126,0.872008062484253,0.20080302496011945
trefoil_T_2_3,signed_turning,0.18,9,9,9,0,0.5365853309631348,0.5609756112098694,0.5311652885542976,0.875,0.875,0.1020408163265306,0.18367346938775508,-0.3914064944284316
trefoil_T_2_3,signed_turning,0.18,17,9,9,0,0.35172414779663086,0.38620689511299133,0.35478927691777545,0.7578125,0.7578125,0.5733333333333334,0.52,-0.20206483022844027
trefoil_T_2_3,signed_turning,0.18,33,9,9,0,0.19266055524349213,0.20733945071697235,0.19633027414480844,0.7578125,0.7578125,0.8085327783558793,0.7877211238293446,-0.14820224343711588
trefoil_T_2_3,signed_turning,0.18,65,9,9,0,0.10364411026239395,0.11074301600456238,0.10495872050523758,0.76171875,0.76171875,0.9032501889644747,0.8911564625850341,-0.1121297186763326
