atlas_index,vertex_count,edge_count,observable,spectrum_minimum,negative_coefficient_count,translation_kernel_psd
172,6,9,strict_maximum_indicator,-2,64,False
173,6,9,2^nullity,0,0,True
173,6,9,3^nullity,-30,16,False
173,6,9,strict_maximum_indicator,-3,192,False
174,6,9,2^nullity,0,0,True
174,6,9,3^nullity,12,0,True
174,6,9,strict_maximum_indicator,-2,64,False
177,6,10,2^nullity,0,0,True
177,6,10,3^nullity,-120,48,False
177,6,10,strict_maximum_indicator,0,0,True
178,6,10,2^nullity,0,0,True
178,6,10,3^nullity,-120,48,False
178,6,10,strict_maximum_indicator,0,0,True
179,6,10,2^nullity,0,0,True
179,6,10,3^nullity,-150,12,False
179,6,10,strict_maximum_indicator,0,0,True
180,6,10,2^nullity,0,0,True
180,6,10,3^nullity,-150,16,False
180,6,10,strict_maximum_indicator,0,0,True
181,6,10,2^nullity,0,0,True
181,6,10,3^nullity,-150,16,False
181,6,10,strict_maximum_indicator,0,0,True
182,6,10,2^nullity,0,0,True
182,6,10,3^nullity,-60,20,False
182,6,10,strict_maximum_indicator,-2,128,False
183,6,10,2^nullity,0,0,True
183,6,10,3^nullity,-150,8,False
183,6,10,strict_maximum_indicator,0,0,True
184,6,10,2^nullity,0,0,True
184,6,10,3^nullity,-60,15,False
184,6,10,strict_maximum_indicator,-2,128,False
185,6,10,2^nullity,0,0,True
185,6,10,3^nullity,-150,32,False
185,6,10,strict_maximum_indicator,-4,64,False
186,6,10,2^nullity,0,0,True
186,6,10,3^nullity,-60,28,False
186,6,10,strict_maximum_indicator,-5,384,False
187,6,10,2^nullity,0,0,True
187,6,10,3^nullity,-18,5,False
187,6,10,strict_maximum_indicator,-4,192,False
188,6,10,2^nullity,0,0,True
188,6,10,3^nullity,-30,45,False
188,6,10,strict_maximum_indicator,-5,352,False
190,6,10,2^nullity,0,0,True
190,6,10,3^nullity,-60,24,False
190,6,10,strict_maximum_indicator,-3,384,False
270,7,6,2^nullity,2,0,True
270,7,6,3^nullity,192,0,True
270,7,6,strict_maximum_indicator,1,0,True
271,7,6,2^nullity,2,0,True
271,7,6,3^nullity,192,0,True
271,7,6,strict_maximum_indicator,1,0,True
272,7,6,2^nullity,2,0,True
272,7,6,3^nullity,192,0,True
272,7,6,strict_maximum_indicator,1,0,True
273,7,6,2^nullity,2,0,True
273,7,6,3^nullity,192,0,True
273,7,6,strict_maximum_indicator,1,0,True
274,7,6,2^nullity,2,0,True
274,7,6,3^nullity,192,0,True
274,7,6,strict_maximum_indicator,1,0,True
276,7,6,2^nullity,2,0,True
276,7,6,3^nullity,192,0,True
276,7,6,strict_maximum_indicator,1,0,True
278,7,6,2^nullity,2,0,True
278,7,6,3^nullity,192,0,True
278,7,6,strict_maximum_indicator,1,0,True
279,7,6,2^nullity,2,0,True
279,7,6,3^nullity,192,0,True
279,7,6,strict_maximum_indicator,1,0,True
280,7,6,2^nullity,2,0,True
280,7,6,3^nullity,192,0,True
280,7,6,strict_maximum_indicator,1,0,True
284,7,6,2^nullity,2,0,True
284,7,6,3^nullity,192,0,True
284,7,6,strict_maximum_indicator,1,0,True
286,7,6,2^nullity,2,0,True
286,7,6,3^nullity,192,0,True
286,7,6,strict_maximum_indicator,1,0,True
314,7,7,2^nullity,0,0,True
314,7,7,3^nullity,96,0,True
314,7,7,strict_maximum_indicator,1,0,True
315,7,7,2^nullity,0,0,True
315,7,7,3^nullity,96,0,True
315,7,7,strict_maximum_indicator,1,0,True
316,7,7,2^nullity,0,0,True
316,7,7,3^nullity,96,0,True
316,7,7,strict_maximum_indicator,1,0,True
317,7,7,2^nullity,0,0,True
317,7,7,3^nullity,96,0,True
317,7,7,strict_maximum_indicator,1,0,True
318,7,7,2^nullity,0,0,True
318,7,7,3^nullity,96,0,True
318,7,7,strict_maximum_indicator,1,0,True
319,7,7,2^nullity,0,0,True
319,7,7,3^nullity,192,0,True
319,7,7,strict_maximum_indicator,0,0,True
320,7,7,2^nullity,0,0,True
320,7,7,3^nullity,96,0,True
320,7,7,strict_maximum_indicator,1,0,True
321,7,7,2^nullity,0,0,True
321,7,7,3^nullity,96,0,True
321,7,7,strict_maximum_indicator,1,0,True
322,7,7,2^nullity,0,0,True
322,7,7,3^nullity,192,0,True
322,7,7,strict_maximum_indicator,0,0,True
324,7,7,2^nullity,0,0,True
324,7,7,3^nullity,96,0,True
324,7,7,strict_maximum_indicator,1,0,True
325,7,7,2^nullity,0,0,True
325,7,7,3^nullity,192,0,True
325,7,7,strict_maximum_indicator,0,0,True
326,7,7,2^nullity,0,0,True
326,7,7,3^nullity,96,0,True
326,7,7,strict_maximum_indicator,1,0,True
327,7,7,2^nullity,0,0,True
327,7,7,3^nullity,192,0,True
327,7,7,strict_maximum_indicator,0,0,True
328,7,7,2^nullity,0,0,True
328,7,7,3^nullity,96,0,True
