hurst,grid_size,sample_count,four_chromatic_count,four_chromatic_rate,mean_estimated_hurst,std_estimated_hurst,mean_odd_degree_vertex_fraction,std_odd_degree_vertex_fraction,mean_main_diagonal_fraction,std_main_diagonal_fraction,mean_neighbor_diagonal_sign_agreement,std_neighbor_diagonal_sign_agreement,mean_predicted_neighbor_diagonal_sign_agreement,std_predicted_neighbor_diagonal_sign_agreement,mean_neighbor_sign_agreement_residual,std_neighbor_sign_agreement_residual,mean_mean_absolute_mixed_curvature,std_mean_absolute_mixed_curvature
0.25,9,16,16,1.0,0.3522136900573969,0.033436907090696,0.41310974210500717,0.06537128274492318,0.5166015625,0.024993132601698685,0.35267858393490314,0.05557991218966769,0.36836106665483515,0.0,-0.01568247191607952,0.05557991218966769,1.1878850422799587,0.15708869005530313
0.25,17,16,16,1.0,0.3522136900573969,0.033436907090696,0.418534480035305,0.03428553698969868,0.5009765625,0.0186060145344313,0.37343752197921276,0.021881202636642432,0.3771266411096582,0.0,-0.003689112141728401,0.021881202636642432,0.8989980556070805,0.09342384893240578
0.25,33,16,16,1.0,0.3522136900573969,0.033436907090696,0.4665137678384781,0.019596339671831952,0.49810791015625,0.00875827908527864,0.42609625682234764,0.013962328601346479,0.42302895110803873,0.0,0.0030673108994960785,0.013962328601346479,0.5439955703914165,0.04493045671914089
0.75,9,16,16,1.0,0.630215922370553,0.06440607092724208,0.4359755963087082,0.059039377837698144,0.5224609375,0.03943910255138412,0.412946455180645,0.045581648252414855,0.4200755484629446,0.0,-0.007129080593585968,0.045581648252414855,0.7583502791821957,0.18629053120607503
0.75,17,16,16,1.0,0.630215922370553,0.06440607092724208,0.47284481674432755,0.030839297587537454,0.5029296875,0.01727715430952552,0.4321614820510149,0.020936837455196096,0.43221961325180924,0.0,-5.8142468333244324e-05,0.020936837455196096,0.43270240910351276,0.10331566755183912
0.75,33,16,16,1.0,0.630215922370553,0.06440607092724208,0.49782110936939716,0.012389042094159376,0.49853515625,0.008700453945901104,0.48431198112666607,0.011452011020342717,0.48124079963448857,0.0,0.0030711721628904343,0.011452011020342717,0.2118696141988039,0.04753778618613883
