hurst,coarse_grid_size,fine_grid_size,sample_count,mean_mismatch_rate,std_mismatch_rate,maximum_mismatch_rate
0.25,9,17,16,0.2978515625,0.053121768628746666,0.375
0.25,9,33,16,0.30078125,0.030508787796510367,0.359375
0.25,17,33,16,0.265869140625,0.023779597662368698,0.29296875
0.75,9,17,16,0.2412109375,0.05605672905689908,0.3125
0.75,9,33,16,0.2431640625,0.037045071754669257,0.3125
0.75,17,33,16,0.222412109375,0.03403901716837339,0.29296875
