fixture_id,p,q,finite_difference_step,residual_points,field_scale_mean,divergence_electric_mean_abs,divergence_electric_max_abs,divergence_magnetic_mean_abs,divergence_magnetic_max_abs,faraday_mean_norm,ampere_mean_norm,null_dot_mean_abs,null_norm_mean_abs,relative_divergence_magnetic_mean,relative_faraday_mean,relative_ampere_mean
hopfion_1_1,1,1,2e-05,2048,0.875284214508449,2.4582008632643804e-10,2.1423836038536592e-09,2.4485508714792774e-10,2.316202785124233e-09,6.170136648735504e-10,6.183280839856671e-10,4.3144078531325e-17,1.205336354272342e-16,2.7974351997817755e-10,7.049295013506661e-10,7.064312068428129e-10
linked_rings_1_2,1,2,2e-05,2048,1.1825666370641303,6.201711474503042e-10,6.296351884316209e-09,6.629723941606427e-10,6.478151348687788e-09,1.7031543029579499e-09,1.6400562169337692e-09,1.0323491238054931e-16,2.4496192834594366e-16,5.606215949120251e-10,1.4402184617572534e-09,1.3868615649477598e-09
trefoil_2_3,2,3,2e-05,2048,1.5226983542727166,2.6840431221625293e-09,5.7000931974471314e-08,2.562388381800655e-09,5.356340393447567e-08,8.584787491814408e-09,8.642430046117768e-09,1.7406189167965523e-16,3.9751843843751473e-16,1.682794477718158e-09,5.637877960349372e-09,5.675733491053541e-09
cinquefoil_2_5,2,5,2e-05,2048,1.4528496367710355,5.352550878261587e-09,1.5728798469227812e-07,5.397301025738299e-09,1.52613447212957e-07,1.6865763708014913e-08,1.7125080699686903e-08,1.7522713535557512e-16,3.8186834004751027e-16,3.7149756513921315e-09,1.1608746893793596e-08,1.1787235420829555e-08
four_component_2_2,2,2,2e-05,2048,1.3530745637839892,1.4835228122060975e-09,2.3137046945009843e-08,1.5144279438008069e-09,2.115321962037342e-08,4.639883106607775e-09,4.514613786697507e-09,1.4266354556392746e-16,3.2768697762306127e-16,1.1192494370491891e-09,3.429140736806066e-09,3.3365594975579186e-09
torus_knot_3_4,3,4,2e-05,2048,1.2372879477537744,4.547878158246801e-09,1.5628501115472204e-07,4.531580436031983e-09,1.9536882961412871e-07,1.7153499137643435e-08,1.7228752489155186e-08,1.2818417181641109e-16,2.9354543036714715e-16,3.6625107714488034e-09,1.3863789078997037e-08,1.3924610290137395e-08
