size,field_of_view,samples,board_evaluations,elapsed_seconds
6,1.0,100000,2700000,4.007131699996535
6,2.0,100000,2700000,3.84110600000713
6,4.0,100000,2700000,3.8413697999785654
7,1.0,100000,2700000,3.0856403000070713
7,2.0,100000,2700000,3.052527799998643
7,4.0,100000,2700000,2.833555699995486
