size,field_of_view,center_extent,channel,threshold,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_probability,yellow_crossing_probability,both_winners,neither_winners,u1_board_mismatch_count
7,4.0,2.0,h_y,-0.6,100000,0.7726030612244899,0.9291059166666668,0.82526,0.17474,0,0,0
7,4.0,2.0,h_y,-0.4,100000,0.6733373469387756,0.9247317499999999,0.70587,0.29413,0,0,0
7,4.0,2.0,h_y,-0.2,100000,0.5843955102040816,0.9230821666666664,0.59955,0.40045,0,0,0
7,4.0,2.0,h_y,-0.1,100000,0.5421877551020409,0.9228659166666668,0.54942,0.45058,0,0,0
7,4.0,2.0,h_y,0.0,100000,0.5007485714285714,0.9228401666666666,0.49997,0.50003,0,0,0
7,4.0,2.0,h_y,0.1,100000,0.4594318367346939,0.9228905833333333,0.45095,0.54905,0,0,0
7,4.0,2.0,h_y,0.2,100000,0.417465306122449,0.923155,0.40163,0.59837,0,0,0
7,4.0,2.0,h_y,0.4,100000,0.3287034693877551,0.9245418333333336,0.29543,0.70457,0,0,0
7,4.0,2.0,h_y,0.6,100000,0.22926673469387754,0.9286716666666666,0.17614,0.82386,0,0,0
7,4.0,2.0,h_z,-0.6,100000,0.9224077551020409,0.9417388333333332,0.98681,0.01319,0,0,0
7,4.0,2.0,h_z,-0.4,100000,0.8636889795918368,0.9230656666666663,0.95927,0.04073,0,0,0
7,4.0,2.0,h_z,-0.2,100000,0.7847559183673469,0.9059605833333331,0.90529,0.09471,0,0,0
7,4.0,2.0,h_z,-0.1,100000,0.7359297959183674,0.8985960833333332,0.86352,0.13648,0,0,0
7,4.0,2.0,h_z,0.0,100000,0.6799379591836735,0.8926918333333335,0.80548,0.19452,0,0,0
7,4.0,2.0,h_z,0.1,100000,0.616209387755102,0.8891095,0.72729,0.27271,0,0,0
7,4.0,2.0,h_z,0.2,100000,0.5450522448979592,0.888530166666667,0.63428,0.36572,0,0,0
7,4.0,2.0,h_z,0.4,100000,0.3844530612244898,0.8983399166666668,0.41633,0.58367,0,0,0
7,4.0,2.0,h_z,0.6,100000,0.21616142857142856,0.9213886666666666,0.19704,0.80296,0,0,0
