size,field_of_view,channel,samples_per_threshold,blue_fraction_at_zero,neighbor_agreement_at_zero,crossing_probability_at_zero,threshold_at_crossing_75,threshold_at_crossing_25,transition_width
6,1.0,h_x,100000,0.49990416666666665,0.9758915294117649,0.49973,-0.5762024784709096,0.5729478575116159,1.1491503359825255
6,1.0,h_y,100000,0.49966777777777777,0.9759370588235297,0.49979,-0.5793277310924371,0.5673316455696202,1.1466593766620572
6,1.0,h_z,100000,0.6170380555555556,0.9644550588235297,0.62746,-0.19082983532450756,0.4774398981053973,0.6682697334299048
6,2.0,h_x,100000,0.5035591666666667,0.9520029411764707,0.50322,-0.5418023025009924,0.5489934185056136,1.090795721006606
6,2.0,h_y,100000,0.5002538888888889,0.9520363529411763,0.49968,-0.5393594026331303,0.5431525056611204,1.0825119082942507
6,2.0,h_z,100000,0.6342477777777777,0.9296344705882355,0.67014,-0.11753151088557867,0.49330849081714134,0.61084000170272
6,4.0,h_x,100000,0.5007333333333334,0.907802823529412,0.501,-0.4781996948635362,0.4770770770770771,0.9552767719406132
6,4.0,h_y,100000,0.4995825,0.9076914117647061,0.50055,-0.4791495083620472,0.4760827353313634,0.9552322436934106
6,4.0,h_z,100000,0.6821997222222222,0.8720117647058823,0.80453,0.07103960396039606,0.5510460634978895,0.4800064595374935
7,1.0,h_x,100000,0.500475918367347,0.9800409999999999,0.50035,-0.5694936061381074,0.5795036860139134,1.1489972921520208
7,1.0,h_y,100000,0.49824183673469385,0.9799057499999998,0.49762,-0.575560790740551,0.5737272155876807,1.1492880063282316
7,1.0,h_z,100000,0.6180385714285714,0.9703240833333334,0.62595,-0.1897456535737283,0.4792500393886876,0.6689956929624159
7,2.0,h_x,100000,0.4989944897959184,0.9602163333333333,0.49842,-0.5485697492163009,0.5445919562670831,1.093161705483384
7,2.0,h_y,100000,0.5011210204081633,0.9599495833333335,0.5022,-0.5404528228549217,0.5430192740436356,1.0834720968985572
7,2.0,h_z,100000,0.6341263265306123,0.9413295000000004,0.67073,-0.11539735099337745,0.49481826851753735,0.6102156195109147
7,4.0,h_x,100000,0.4987218367346939,0.9230262500000004,0.49803,-0.4802123952542936,0.47623779050185244,0.956450185756146
7,4.0,h_y,100000,0.5007485714285714,0.9228401666666666,0.49997,-0.4739257894296005,0.47616732332970074,0.9500931127593013
7,4.0,h_z,100000,0.6799379591836735,0.8926918333333335,0.80548,0.07095536513620666,0.5516986638697615,0.48074329873355487
