fixture_id,p,q,tau_index,tau,scale,minimum_mode,maximum_mode,spectral_power,dirichlet_energy,bending_energy,initial_bending_energy,initial_bending_fraction,current_bending_fraction,retained_bending_fraction
hopf_core_unknot,1,1,0,0.0,macroscopic,1,2,1.6080810142133557,2.314575050761982,5.140551196956488,5.140551196956487,0.4543648263005688,0.45436482630056885,1.0000000000000002
hopf_core_unknot,1,1,0,0.0,mesoscopic,3,8,0.04877199112731636,0.5137462951915475,6.164041302098628,6.164041302098628,0.5448294255284862,0.5448294255284862,1.0
hopf_core_unknot,1,1,0,0.0,microscopic,9,-1,1.244151709371086e-06,0.00010577879266294906,0.009115999929662067,0.009115999929662243,0.0008057481709450316,0.0008057481709450161,0.9999999999999808
hopf_core_unknot,1,1,1,0.0001,macroscopic,1,2,1.6076182019923055,2.3135472693295096,5.137263538678325,5.140551196956487,0.4543648263005688,0.4549484357272792,0.999360446350557
hopf_core_unknot,1,1,1,0.0001,mesoscopic,3,8,0.048669365027025596,0.512515317500038,6.145747775938325,6.164041302098628,0.5448294255284862,0.544258303274992,0.9970322187565365
hopf_core_unknot,1,1,1,0.0001,microscopic,9,-1,1.2231772092788085e-06,0.00010397149228040968,0.008957478431094693,0.009115999929662243,0.0008057481709450316,0.000793260997728726,0.9826106296850944
hopf_core_unknot,1,1,2,0.0001265177680741505,macroscopic,1,2,1.6074955089970293,2.313274834911752,5.136392138570644,5.140551196956487,0.4543648263005688,0.45510308091457063,0.9991909314339081
hopf_core_unknot,1,1,2,0.0001265177680741505,mesoscopic,3,8,0.04864219214339041,0.5121895028087519,6.1409089659702705,6.164041302098628,0.5448294255284862,0.5441069362758395,0.9962472126654177
hopf_core_unknot,1,1,2,0.0001265177680741505,microscopic,9,-1,1.2176756035895992e-06,0.000103497530588749,0.008915917432658772,0.009115999929662243,0.0008057481709450316,0.0007899828095897878,0.9780515030114877
hopf_core_unknot,1,1,3,0.0001600674563846453,macroscopic,1,2,1.6073403012596832,2.3129302231821196,5.135289910871865,5.140551196956487,0.4543648263005688,0.4552986655771907,0.9989765132408881
