fixture_id,scale,mode_range,initial_bending_fraction,one_percent_collapse_interval,collapse_tau_upper,projection_fall_tau,retained_at_projection_fall,bending_share_at_projection_fall,collapse_before_projection_fall
hopf_core_unknot,macroscopic,1-2,0.4543648263005688,"(1.54245, 1.95148]",1.951479156519718,,not_applicable,not_applicable,not_applicable
hopf_core_unknot,mesoscopic,3-8,0.5448294255284862,"(0.185716, 0.234963]",0.23496340138146393,,not_applicable,not_applicable,not_applicable
hopf_core_unknot,microscopic,9+,0.0008057481709450316,"(0.0223607, 0.0282902]",0.02829023297753531,,not_applicable,not_applicable,not_applicable
trefoil_2_3,macroscopic,1-2,0.04996773353931862,"(0.602014, 0.761654]",0.7616541796661821,0.6020136074640411,0.010397131911688562,0.9975914343463791,False
trefoil_2_3,mesoscopic,3-8,0.672075269913819,"(0.116023, 0.14679]",0.14679023874587108,0.6020136074640411,1.8663413031625798e-06,0.002408565653620845,True
trefoil_2_3,microscopic,9+,0.27795699654686223,"(0.0223607, 0.0282902]",0.02829023297753531,0.6020136074640411,6.681910373125072e-26,3.566381208166341e-23,True
cinquefoil_2_5,macroscopic,1-2,0.019712052588420192,"(0.475833, 0.602014]",0.6020136074640411,2.468967873261005,2.6419647156868795e-09,0.9999999999919529,True
cinquefoil_2_5,mesoscopic,3-8,0.4213904008880758,"(0.0724841, 0.0917052]",0.09170523606818065,2.468967873261005,9.945225258612985e-22,8.047118567711741e-12,True
cinquefoil_2_5,microscopic,9+,0.5588975465235041,"(0.0176739, 0.0223607]",0.022360679774997897,2.468967873261005,4.380106327963296e-34,4.7006508472806855e-24,True
torus_knot_3_4,macroscopic,1-2,0.00010211156663524416,"(1.95148, 2.46897]",2.468967873261005,0.14679023874587108,0.745589217299506,0.01587523633013623,False
torus_knot_3_4,mesoscopic,3-8,0.48209818862688397,"(0.116023, 0.14679]",0.14679023874587108,0.14679023874587108,0.009789691791349685,0.9841247635428841,True
torus_knot_3_4,microscopic,9+,0.5177996998064809,"(0.0139695, 0.0176739]",0.017673944233581942,0.14679023874587108,1.1760515853797856e-12,1.2697955690212908e-10,True
