fixture_id,p,q,tau_index,tau,minimal_crossing_number,projection_crossings,below_minimal_crossing,first_nonzero_mode,leading_mode_rank,effective_mode_count,normalized_clearance,spectral_dirichlet_energy,spectral_bending_energy,polygon_length,mean_curvature,maximum_curvature,geometric_bending_energy,median_edge_length,cpu_transfer_seconds
hopf_core_unknot,1,1,0,0.0,0,0,False,1,2,16,2.353361962142361,2.8284271247461925,11.313708498984777,6.903127588426338,0.9102139916686938,0.9103794538608455,5.7193302792557414,0.00949268146907846,0.00017949999892152846
hopf_core_unknot,1,1,1,0.0001,0,0,False,1,2,16,2.353301457564184,2.8261665583218276,11.291968793047745,6.902580767103205,0.9102627207068186,0.9104338769792184,5.719783181905428,0.009494776202712017,0.00013700000272365287
hopf_core_unknot,1,1,2,0.0001265177680741505,0,0,False,1,2,16,2.3532854303035204,2.8255678352510927,11.286217021973574,6.902435908669515,0.9102756371970852,0.9104860631891709,5.719903193890238,0.00949533156200163,9.610000415705144e-05
hopf_core_unknot,1,1,3,0.0001600674563846453,0,0,False,1,2,16,2.353265163314168,2.824810781051556,11.278947862414142,6.902252724784892,0.9102919756356262,0.9105537703103954,5.720054977746243,0.009496034119711652,9.7999996796716e-05
hopf_core_unknot,1,1,4,0.00020251377323091753,0,0,False,1,2,16,2.353239538540549,2.8238536713981484,11.269763629047635,6.902021104962369,0.9103126415194625,0.9106404546936142,5.72024692709722,0.00949692286725194,8.150000212481245e-05
hopf_core_unknot,1,1,5,0.0002562159059345033,0,0,False,1,2,16,2.3532071451906607,2.8226438738405513,11.258163972574717,6.901728289056571,0.9103387793104987,0.9107508797221177,5.720489642453392,0.009498047110259967,8.520000119460747e-05
hopf_core_unknot,1,1,6,0.00032415864563929844,0,0,False,1,2,16,2.3531662043767128,2.8211150481661895,11.243520307791659,6.901358183343231,0.9103718351163403,0.910890957382735,5.720796505114484,0.009499469188435661,0.0001053000014508143
hopf_core_unknot,1,1,7,0.0004101182834822349,0,0,False,1,2,16,2.3531144751380517,2.8191836592924977,11.225044427194318,6.900890506312733,0.9104136355848623,0.9110682995377779,5.721184396512189,0.009501267907440996,8.160000288626179e-05
hopf_core_unknot,1,1,8,0.000518872498725741,0,0,False,1,2,16,2.3530491377504252,2.81674465246895,11.201750312994491,6.900299725508154,0.9104664870721679,0.9112925628648139,5.72167459755682,0.009503542866183849,0.00010399999882793054
hopf_core_unknot,1,1,9,0.0006564659045383825,0,0,False,1,2,16,2.3529666496565667,2.813666119091722,11.172408206279647,6.89955374021455,0.9105333000811834,0.9115758873213137,5.722293909367871,0.009506419908094806,0.00010029999975813553
