fixture_id,p,q,tau,is_projection_fall_state,projection_crossings,inflation_level,scale_regime,cell_scale,occupied_tetrahedra,itinerary_transitions,unique_transition_pairs,occupied_type_simplex_classes,occupancy_entropy,maximum_cell_curvature_fraction,mean_cell_diameter,positive_space_form_force_mean_per_mv2,positive_space_form_force_max_per_mv2,negative_space_form_force_mean_per_mv2,negative_space_form_force_min_per_mv2,space_form_force_asymmetry_ratio,visited_defect_class_count,minimum_visited_bounded_relation_residual,median_visited_bounded_relation_residual,nonzero_projected_winding_count,nonzero_projected_winding_fraction,maximum_absolute_projected_winding,total_polygonal_turning,tangent_holonomy_angle
hopf_core_unknot,1,1,0.0,False,0,-2,microscopic,0.06875388202501892,192,192,192,40,4.897582761001868,0.02734288047386336,0.2128087890181121,2.4181658982976577,3.5607222993859358,-2.319454457181132,-3.4153708039258546,1.0425580423926457,40,0.00021040931345984198,0.0015844813345791177,71,0.36979166666666663,1,6.283185307180026,0.0
hopf_core_unknot,1,1,0.0,False,0,-1,microscopic,0.11124611797498106,136,136,136,33,4.509306798749641,0.0527325508802009,0.3413442122766319,1.5062127177932456,1.8027447072407718,-1.4447279254942234,-1.7291552450197556,1.0425580423926457,33,0.00021040931345984198,0.0010959239687638408,76,0.5588235294117647,1,6.283185307180026,0.0
hopf_core_unknot,1,1,0.0,False,0,0,mesoscopic,0.18,93,93,93,34,4.066424534228584,0.0566388375182095,0.5492514440554469,0.937194610396175,1.3600748938657492,-0.8989375864823179,-1.3045555629156242,1.0425580423926457,34,0.00021040931345984198,0.0015154609818577242,51,0.5483870967741936,1,6.283185307180026,0.0
hopf_core_unknot,1,1,0.0,False,0,1,macroscopic,0.29124611797498107,57,57,57,28,3.5555082380049403,0.12499541529335527,0.8594626366375545,0.5977794989072045,0.6885872051269943,-0.5733776678134053,-0.6604785317723925,1.0425580423926457,28,0.00021040931345984198,0.0010959239687636994,27,0.47368421052631576,1,6.283185307180026,0.0
hopf_core_unknot,1,1,0.0,False,0,2,macroscopic,0.47124611797498106,37,38,38,16,3.1981139278667863,0.1562445057255808,1.427364333057794,0.3607087212812302,0.42557029698677845,-0.3459843064980942,-0.40819818147496595,1.0425580423926457,16,0.00021040931346040742,0.0013654373146512206,19,0.5135135135135136,1,6.283185307180026,0.0
hopf_core_unknot,1,1,0.02,False,0,-2,microscopic,0.06875388202501892,193,193,193,40,4.941731078810643,0.0331598560646276,0.2120924233027414,2.429450269024171,3.5607222993859358,-2.3302781909855503,-3.4153708039258546,1.0425580423926457,40,0.00021040931345984198,0.0015844813345791177,94,0.48704663212435234,1,6.283185307179342,0.0
hopf_core_unknot,1,1,0.02,False,0,-1,microscopic,0.11124611797498106,125,125,125,35,4.3928131496411185,0.06746586514161401,0.34167449365381686,1.5051195484257458,1.8027447072407718,-1.443679380163365,-1.7291552450197556,1.0425580423926457,35,0.00021040931345984198,0.0015154609818577242,70,0.56,1,6.283185307179342,0.0
hopf_core_unknot,1,1,0.02,False,0,0,mesoscopic,0.18,86,86,86,33,4.032052455551511,0.05543595322800961,0.5508500877763631,0.9342966094857297,1.3600748938657492,-0.8961578842570159,-1.3045555629156242,1.0425580423926457,33,0.00021040931345984198,0.0015154609818577242,51,0.5930232558139534,1,6.283185307179342,0.0
hopf_core_unknot,1,1,0.02,False,0,1,macroscopic,0.29124611797498107,57,57,57,31,3.583871515071083,0.10562785571239906,0.8553606937980744,0.6008878947662746,0.6885872051269943,-0.5763591764994218,-0.6604785317723925,1.0425580423926457,31,0.00021040931345984198,0.0010959239687638408,26,0.45614035087719296,1,6.283185307179342,0.0
hopf_core_unknot,1,1,0.02,False,0,2,macroscopic,0.47124611797498106,35,35,35,15,3.1609082635272276,0.1509954078453815,1.427394776838657,0.3606161679919584,0.42557029698677845,-0.34589553130716144,-0.40819818147496595,1.042558042392646,15,0.00021040931346040742,0.0010959239687638408,18,0.5142857142857142,1,6.283185307179342,0.0
