fixture_id,tau,tau_label,projection_crossings,fine_occupied_tetrahedra,coarse_occupied_tetrahedra,fine_to_coarse_contraction,fine_nonzero_winding_fraction,tangent_holonomy_angle,total_polygonal_turning
hopf_core_unknot,0.0,initial,0,192,37,0.19270833333333334,0.36979166666666663,0.0,6.283185307180026
trefoil_2_3,0.0,initial,3,351,84,0.23931623931623933,0.6695156695156695,2.8247700191100282,15.29162854868636
trefoil_2_3,0.6020136074640411,projection_fall_tau=0.602,0,205,39,0.1902439024390244,0.5024390243902439,-3.1005257832573876,10.087813485290042
cinquefoil_2_5,0.0,initial,5,415,115,0.27710843373493976,0.7084337349397591,1.0240156618267469,26.109650555790502
cinquefoil_2_5,2.468967873261005,projection_fall_tau=2.469,3,177,40,0.22598870056497175,0.4858757062146893,-1.8849009607316668e-26,12.566370614359155
torus_knot_3_4,0.0,initial,8,410,115,0.2804878048780488,0.8073170731707318,2.916975412705637,21.261367331611602
torus_knot_3_4,0.14679023874587108,projection_fall_tau=0.1468,4,355,61,0.17183098591549295,0.4507042253521127,3.011190144500832,19.156694192810058
