complex_dimension,projective_space,samples,projector_idempotence_max_error,projector_trace_max_error,projector_hermitian_max_error,projector_distance_identity_max_error,u1_phase_invariance_max_error,hopf_map_max_error,elapsed_seconds,samples_per_second
2,CP^1,500000,7.773845768752943e-16,8.883874516564877e-16,5.551115123125783e-17,2.886579864025407e-15,1.2215983013115056e-15,1.3322676295501878e-15,1.406475900002988,355498.44828406785
3,CP^2,500000,7.77173157532101e-16,8.88563351338441e-16,5.551115123125783e-17,2.6645352591003757e-15,1.0000871337099166e-15,0.0,0.19632950000232086,2546739.027981477
5,CP^4,500000,7.771823758596776e-16,8.882869673464203e-16,5.551115123125783e-17,2.4424906541753444e-15,9.993154766858848e-16,0.0,0.22012259997427464,2271461.449476038
