family,hurst,size,samples_per_probability,crossing_probability_at_half,realized_blue_fraction_at_half,neighbor_agreement_at_half,p25,p75,transition_width
fractional_gaussian,0.2,6,200000,0.50039,0.4999913888888889,0.6561525294117647,0.37923245731413585,0.6207999102484995,0.2415674529343636
fractional_gaussian,0.2,7,200000,0.499155,0.5000169387755102,0.6556568333333332,0.3944961038961039,0.6057742247568614,0.21127812086075748
fractional_gaussian,0.5,6,200000,0.49936,0.5001405555555556,0.6947519411764705,0.37113755881538885,0.6296940234486703,0.25855646463328147
fractional_gaussian,0.5,7,200000,0.498015,0.49978020408163265,0.6940682083333333,0.3838531427660592,0.615380903876052,0.23152776110999285
fractional_gaussian,0.8,6,200000,0.503215,0.50032125,0.7255708823529411,0.36296615201900234,0.6366662830177822,0.2737001309987798
fractional_gaussian,0.8,7,200000,0.502085,0.5002478571428571,0.7250236666666667,0.3743636767811493,0.6256877000705333,0.251324023289384
iid,,6,200000,0.50037,0.5002291666666666,0.4996520000000001,0.4119172648281073,0.5878438574554549,0.17592659262734756
iid,,7,200000,0.50133,0.5002344897959183,0.4998974166666667,0.41968153568933186,0.5798271351809955,0.16014559949166363
