fixture_id,grid_size,vertex_count,edge_count,odd_degree_vertex_count,expected_chromatic_number,color_count_used,proper_coloring,sphere_triangulation_edge_identity
eulerian_checkerboard,5,26,72,0,3,3,True,True
single_curvature_flip,5,26,72,4,4,4,True,True
