hurst,sample_count,generation_and_hurst_seconds,triangulation_and_transport_seconds,total_seconds
0.1,256,0.278941999989911,0.07286159999785013,0.3518076000036672
0.25,256,0.002649099988047965,0.008591500009060837,0.011241300002438948
0.5,256,0.0021680999925592914,0.010112000003573485,0.01228100000298582
0.75,256,0.002336799996555783,0.009797699996852316,0.012135600001784042
0.9,256,0.002402099999017082,0.007811699993908405,0.01021500000206288
